Pharmaceutical,Prescribed_Daily_Dosage,Num_Prescriptions,SMILES,INCHIKEY,INCHI_STRING,Molar_Mass,MOLECULAR_FORMULA,Boiling.Point,Density,Flash.Point,Henry.s.Law,Index.of.Refraction,liquid.chromatography.Retention.Time,LogD5.5,LogD7.4,LogKoa.Octanol.Air,LogKow.Octanol.Water,Melting.Point,Molar.Refractivity,Molar.Volume,pKa.Acidic.Apparent,pKa.Basic.Apparent,Polarizability,ReadyBiodeg,Surface.Tension,Thermal.Conductivity,Vapor.Pressure,Viscosity,Water.Solubility,Invertebrate_Median_LC50,Plants_Algae_Median_LC50,Vertebrate_Median_LC50,Min_Vertebrate_LC50,Invertebrate_median_NOEC,Plants_algae_median_NOEC,Vertebrate_median_NOEC,Min_Vertebrate_NOEC,Amides,Ethers,Tertiary amines,Alkyl halides,Secondary amines,Aliphatic alcohols,Aromatic alcohols,Carboxylic acids,Sulfonamides,Primary amines,Ureas,Esters,Nitriles,Ketones,Sulfides,Carbamates,Sulfones,Guanidines,Amidines,Thiols,Imines,Imides
METRONIDAZOLE,204732842.60269,181,CC1=NC=C(N1CCO)[N+]([O-])=O,VAOCPAMSLUNLGC-UHFFFAOYSA-N,"InChI=1S/C6H9N3O3/c1-5-7-4-6(9(11)12)8(5)2-3-10/h4,10H,2-3H2,1H3
",171.156,C6H9N3O3,332.312,1.451,195.1965,5.62341325190349e-09,1.612,4.96,-0.02,-0.02,8.35,-0.013,160.0,40.981,117.867,,3.33,16.246,0.0,60.48,151.078,8.91250938133746e-05,27.0396,0.0603,182000.0,,805000.0,550000.0,175000.0,,500000.0,500000.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMOTRIGINE,203428171.439871,887,NC1=NC(N)=C(N=N1)C1=CC=CC(Cl)=C1Cl,PYZRQGJRPPTADH-UHFFFAOYSA-N,"InChI=1S/C9H7Cl2N5/c10-5-3-1-2-4(6(5)11)7-8(12)14-9(13)16-15-7/h1-3H,(H4,12,13,14,16)
",256.09,C9H7Cl2N5,417.711,1.5975,268.131,1.12201845430197e-09,1.706,10.62,2.44,2.57,9.2,1.678,217.0,63.381,162.851,,5.05,25.126,0.0,79.633,,3.80189396320561e-10,,0.0019849921,,,,,,,,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
VENLAFAXINE,199866891.27083,1322,COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1,PNVNVHUZROJLTJ-UHFFFAOYSA-N,"InChI=1/C17H27NO2/c1-18(2)13-16(17(19)11-5-4-6-12-17)14-7-9-15(20-3)10-8-14/h7-10,16,19H,4-6,11-13H2,1-3H3
",277.408,C17H27NO2,335.284,1.039,180.924,2.08929613085404e-06,1.544,14.99,-0.77,1.13,10.57,3.1395,114.0,82.634,261.697,,9.4,32.759,0.0,40.2645,147.693,4.92e-07,24.7742,0.001123345,,,,,,,125.65,1.086,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROCODONE,198755992.832765,289,[H][C@@]12OC3=C4C(C[C@H]5N(C)CC[C@@]14[C@@]5([H])CCC2=O)=CC=C3OC,LLPOLZWFYMWNKH-CMKMFDCUSA-N,"InChI=1S/C18H21NO3/c1-19-8-7-18-11-4-5-13(20)17(18)22-16-14(21-2)6-3-10(15(16)18)9-12(11)19/h3,6,11-12,17H,4-5,7-9H2,1-2H3/t11-,12+,17-,18-/m0/s1
",299.37,C18H21NO3,410.0795,1.3025,214.4965,6.760829753919821e-09,1.633,10.75,-0.02,1.5,9.82,1.7745,175.161,81.551,228.211,,7.23,32.329,0.0,55.708,,7.55092e-09,,0.002008715,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RANOLAZINE,183203208.55615,146,COC1=C(OCC(O)CN2CCN(CC(=O)NC3=C(C)C=CC=C3C)CC2)C=CC=C1,XKLMZUWKNUAPSZ-UHFFFAOYSA-N,"InChI=1/C24H33N3O4/c1-18-7-6-8-19(2)24(18)25-23(29)16-27-13-11-26(12-14-27)15-20(28)17-31-22-10-5-4-9-21(22)30-3/h4-10,20,28H,11-17H2,1-3H3,(H,25,29)
",427.545,C24H33N3O4,518.075,1.164,323.052,1.3803842646028898e-11,1.586,15.99,2.48,3.1,9.62,2.8125,151.932,122.148,364.026,,6.03,48.423,0.0,49.419,,2.11836e-11,,0.0010417638830084,,,,,,,,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OMEPRAZOLE,177355022.964156,5461,COC1=CC2=C(NC(=N2)S(=O)CC2=C(C)C(OC)=C(C)C=N2)C=C1,SUBDBMMJDZJVOS-UHFFFAOYSA-N,"InChI=1/C17H19N3O3S/c1-10-8-18-15(11(2)16(10)23-4)9-24(21)17-19-13-6-5-12(22-3)7-14(13)20-17/h5-8H,9H2,1-4H3,(H,19,20)
",345.42,C17H19N3O3S,579.37,1.4385,306.658,3.54813389233575e-06,1.669,10.81,2.23,2.23,10.29,2.23,156.0,94.021,251.869,,2.41,37.273,0.0,75.182,,3.70655238150459e-08,,0.0002709975860201,,,25906.25,25906.25,,,9991.265,9982.53,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LISINOPRIL,169356369.835901,8733,"O.O.NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O, NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O","CZRQXSDBMCMPNJ-ZUIPZQNBSA-N, RLAWWYSOJDYHDC-BZSNNMDCSA-N","InChI=1S/C21H31N3O5/c22-13-5-4-9-16(19(25)24-14-6-10-18(24)21(28)29)23-17(20(26)27)12-11-15-7-2-1-3-8-15/h1-3,7-8,16-18,23H,4-6,9-14,22H2,(H,26,27)(H,28,29)/t16-,17-,18-/m0/s1
",405.495,C21H31N3O5,570.2,1.288,365.6365,1.69824365246175e-11,1.578,4.21,-4.63,-2.74,9.43,-0.94,197.845,107.488,323.906,4.03,8.91,42.612,0.0,60.393,,2.22331e-11,419.759,0.031,,,,,,,405.494,405.494,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CELECOXIB,164569006.920648,655,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F,RZEKVGVHFLEQIL-UHFFFAOYSA-N,"InChI=1S/C17H14F3N3O2S/c1-11-2-4-12(5-3-11)15-10-16(17(18,19)20)22-23(15)13-6-8-14(9-7-13)26(21,24)25/h2-10H,1H3,(H2,21,24,25)
",381.37,C17H14F3N3O2S,500.04,1.439,277.1785,5.128613839913661e-09,1.606,21.28,2.13,2.97,10.87,3.52,158.0,91.883,266.445,12.97,0.87,36.425,0.0,46.668,,3.09029543251359e-11,,7.72844691735168e-06,,,,,170.0,,2636.585,29.3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
HYDROXYCHLOROQUINE,160545100.077353,451,CCN(CCO)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12,XXSMGPRMXLTPCZ-UHFFFAOYSA-N,"InChI=1/C18H26ClN3O/c1-3-22(11-12-23)10-4-5-14(2)21-17-8-9-20-18-13-15(19)6-7-16(17)18/h6-9,13-14,23H,3-5,10-12H2,1-2H3,(H,20,21)
",335.88,C18H26ClN3O,413.6645,1.184,267.467,5.3703179637025305e-09,1.61,18.54,0.88,2.77,9.4,3.6365,90.0,98.969,285.37,9.88,8.56,39.234,0.0,49.803,160.589,1.73780082874938e-10,76.5597,0.0001970868972334,,,,,,,,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENZONATATE,149618022.279327,344,CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,MAFMQEKGGFWBAB-UHFFFAOYSA-N,"InChI=1S/C30H53NO11/c1-3-4-9-31-29-7-5-28(6-8-29)30(32)42-27-26-41-25-24-40-23-22-39-21-20-38-19-18-37-17-16-36-15-14-35-13-12-34-11-10-33-2/h5-8,31H,3-4,9-27H2,1-2H3
",603.75,C30H53NO11,561.752,1.1055,307.293,8.51138038202376e-10,1.495,20.2,2.45,2.42,10.57,1.42,73.0,160.633,550.685,8.48,,63.68,0.0,39.838,189.812,1.81552e-10,,0.000311889,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CEFDINIR,145610064.935065,156,NC1=NC(=CS1)C(=N\O)\C(=O)N[C@H]1[C@H]2SCC(C=C)=C(N2C1=O)C(O)=O,RTXOFQZKPXMALH-GHXIOONMSA-N,"InChI=1S/C14H13N5O5S2/c1-2-5-3-25-12-8(11(21)19(12)9(5)13(22)23)17-10(20)7(18-24)6-4-26-14(15)16-6/h2,4,8,12,24H,1,3H2,(H2,15,16)(H,17,20)(H,22,23)/b18-7-/t8-,12-/m1/s1
",395.41,C14H13N5O5S2,414.214,1.787,419.141,1.86208713666287e-11,1.862,0.88,-0.61,-0.24,9.45,-0.476,201.0,94.147,208.658,4.78,5.65,37.323,0.0,94.695,,7.94328234724282e-08,,0.001927114351669,,,,,,,,,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CLOPIDOGREL,142593073.78152,1839,COC(=O)[C@@H](N1CCC2=C(C1)C=CS2)C1=CC=CC=C1Cl,GKTWGGQPFAXNFI-HNNXBMFYSA-N,"InChI=1S/C16H16ClNO2S/c1-20-16(19)15(12-4-2-3-5-13(12)17)18-8-6-14-11(10-18)7-9-21-14/h2-5,7,9,15H,6,8,10H2,1H3/t15-/m0/s1
",321.82,C16H16ClNO2S,376.91,1.329,218.6795,8.51138038202376e-09,1.617,15.07,2.93,2.93,9.83,4.022,130.4925,85.483,244.301,,3.15,33.888,0.0,48.731,,2.19e-07,,0.000112395,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GUAIFENESIN,141211599.587203,121,COC1=CC=CC=C1OCC(O)CO,HSRJKNPTNIJEKV-UHFFFAOYSA-N,"InChI=1/C10H14O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-5,8,11-12H,6-7H2,1H3
",198.218,C10H14O4,299.896,1.1835,163.892,6.30957344480194e-10,1.538,5.03,1.39,1.39,7.96,0.839,79.0,51.904,165.84,9.59,,20.576,0.0,41.865,162.098,1.04e-05,31.1172,0.251188643150958,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYCOPHENOLATE MOFETIL,133453859.509278,90,COC1=C(C)C2=C(C(=O)OC2)C(O)=C1C\C=C(/C)CCC(=O)OCCN1CCOCC1,RTGDFNSFWBGLEC-SYZQJQIISA-N,"InChI=1S/C23H31NO7/c1-15(5-7-19(25)30-13-10-24-8-11-29-12-9-24)4-6-17-21(26)20-18(14-31-23(20)27)16(2)22(17)28-3/h4,26H,5-14H2,1-3H3/b15-4+
",433.501,C23H31NO7,529.966,1.227,306.05,3.31131121482591e-08,1.557,15.36,2.38,2.38,10.26,3.147,181.0,114.222,354.618,9.35,,45.281,0.0,48.494,156.905,1.58125e-09,,0.0003887855,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TOPIRAMATE,129666072.631968,1041,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,KJADKKWYZYXHBB-XBWDGYHZSA-N,"InChI=1S/C12H21NO8S/c1-10(2)18-7-5-16-12(6-17-22(13,14)15)9(8(7)19-10)20-11(3,4)21-12/h7-9H,5-6H2,1-4H3,(H2,13,14,15)/t7-,8-,9+,12+/m1/s1
",339.36,C12H21NO8S,420.95,1.354,208.314,9.332543007969921e-09,1.497,7.57,0.15,0.26,9.35,1.2055,126.0,74.328,253.865,,4.97,29.466,0.0,53.382,,1.0471285480509e-05,,0.0378373,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DIPHENHYDRAMINE,123272404.20686,194,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,"InChI=1S/C17H21NO/c1-18(2)13-14-19-17(15-9-5-3-6-10-15)16-11-7-4-8-12-16/h3-12,17H,13-14H2,1-2H3
",255.361,C17H21NO,331.4585,1.023,129.2925,4.78630092322638e-06,1.551,18.06,-0.01,1.87,8.53,3.27,168.0,79.568,249.226,,8.83,31.543,0.0,38.8915,141.203,6.9e-05,10.5196,0.00146017,3940.0,,51072.0,51072.0,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NABUMETONE,122626836.771625,102,COC1=CC2=CC=C(CCC(C)=O)C=C2C=C1,BLXXJMDCKKHMKV-UHFFFAOYSA-N,"InChI=1S/C15H16O2/c1-11(16)3-4-12-5-6-14-10-15(17-2)8-7-13(14)9-12/h5-10H,3-4H2,1-2H3
",228.291,C15H16O2,349.105,1.096,165.4075,2.18776162394955e-08,1.576,14.21,3.08,3.08,8.03,3.08,80.0,69.619,210.502,,,27.599,0.0,40.4185,137.864,5.37031796370253e-06,11.722,0.0003494675,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DULOXETINE,120734170.204192,2001,CNCC[C@H](OC1=C2C=CC=CC2=CC=C1)C1=CC=CS1,ZEUITGRIYCTCEM-KRWDZBQOSA-N,"InChI=1S/C18H19NOS/c1-19-12-11-17(18-10-5-13-21-18)20-16-9-4-7-14-6-2-3-8-15(14)16/h2-10,13,17,19H,11-12H2,1H3/t17-/m0/s1
",297.42,C18H19NOS,425.4515,1.197,234.664,7.41310241300916e-10,1.628,14.95,3.58,3.77,11.3,3.8975,117.486,91.142,256.817,,5.24,36.132,0.0,44.373,,5.62341325190349e-08,42.1697,7.31336117362141e-05,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUROSEMIDE,117564100.716749,2830,NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O,ZZUFCTLCJUWOSV-UHFFFAOYSA-N,"InChI=1S/C12H11ClN2O5S/c13-9-5-10(15-6-7-2-1-3-20-7)8(12(16)17)4-11(9)21(14,18)19/h1-5,15H,6H2,(H,16,17)(H2,14,18,19)
",330.74,C12H11ClN2O5S,497.89,1.5835,299.8445,2.51188643150958e-10,1.658,1.77,0.24,-1.65,9.24,2.175,205.5,75.767,205.814,3.72,,30.036,0.0,75.271,,6.25173e-11,,0.000219,,,,,255000.0,10.0,165.67704,165.67704,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
METAXALONE,117119168.591224,41,CC1=CC(OCC2CNC(=O)O2)=CC(C)=C1,IMWZZHHPURKASS-UHFFFAOYSA-N,"InChI=1/C12H15NO3/c1-8-3-9(2)5-10(4-8)15-7-11-6-13-12(14)16-11/h3-5,11H,6-7H2,1-2H3,(H,13,14)
",221.256,C12H15NO3,350.866,1.149,201.1595,1.38038426460289e-09,1.525,9.08,1.76,1.75,9.98,2.3555,122.0,59.512,194.299,9.14,,23.593,1.0,38.189,,1.77827941003892e-06,57.9429,0.000859282,,,,,,,,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PANTOPRAZOLE,113856810.283579,2537,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=CC(OC(F)F)=C3)=NC=C1,IQPSEEYGBUAQFF-UHFFFAOYSA-N,"InChI=1/C16H15F2N3O4S/c1-23-13-5-6-19-12(14(13)24-2)8-26(22)16-20-10-4-3-9(25-15(17)18)7-11(10)21-16/h3-7,15H,8H2,1-2H3,(H,20,21)
",383.37,C16H15F2N3O4S,575.1,1.5615,314.1565,5.37031796370253e-10,1.643,11.09,1.45,1.45,10.31,1.573,176.0245,91.357,252.748,,0.36,36.217,0.0,73.473,,3.88124026814346e-08,,0.0002673885,,,,,,,,,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PENICILLIN V POTASSIUM,110248611.883145,90,[K+].CC1(C)S[C@@H]2[C@H](NC(=O)COC3=CC=CC=C3)C(=O)N2[C@H]1C([O-])=O,HCTVWSOKIJULET-LQDWTQKMSA-M,"InChI=1S/C16H18N2O5S.K/c1-16(2)12(15(21)22)18-13(20)11(14(18)24-16)17-10(19)8-23-9-6-4-3-5-7-9;/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22);/q;+1/p-1/t11-,12+,14-;/m1./s1
",388.48,C16H17KN2O5S,580.9485,1.4515,359.681,1.3803842646028898e-11,1.651,6.89,-0.63,-2.14,9.49,0.7325,201.76,88.087,241.237,5.68,,34.92,0.0,69.034,155.497,1.58855e-10,,0.0133808245950974,,,,,,,,,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FENOFIBRATE,107133139.69136,710,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1,YMTINGFKWWXKFG-UHFFFAOYSA-N,"InChI=1S/C20H21ClO4/c1-13(2)24-19(23)20(3,4)25-17-11-7-15(8-12-17)18(22)14-5-9-16(21)10-6-14/h5-13H,1-4H3
",360.83,C20H21ClO4,410.194,1.176,180.026,4.36515832240167e-09,1.547,21.9,4.94,4.94,10.46,4.975,80.5,97.116,306.449,,,38.5,0.0,40.982,,8.72971e-08,15.6675,4.393905e-06,64985.0,,169.0,169.0,97.5,3120.0,2525.86,169.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
DOXYCYCLINE,106946319.111439,720,[H][C@@]12[C@@H](C)C3=C(C(O)=CC=C3)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,JBIWCJUYHHGXTC-AKNGSSGZSA-N,"InChI=1S/C22H24N2O8/c1-7-8-5-4-6-9(25)11(8)16(26)12-10(7)17(27)14-15(24(2)3)18(28)13(21(23)31)20(30)22(14,32)19(12)29/h4-7,10,14-15,17,25,27-29,32H,1-3H3,(H2,23,31)/t7-,10+,14+,15-,17-,22-/m0/s1
",444.44,C22H24N2O8,692.4395,1.6745,424.031,1.20226443461741e-11,1.737,7.0,-0.03,-0.2,9.45,-0.472,231.534,109.034,271.118,7.73,,43.225,0.0,99.237,,6.69885e-16,,0.00141742,,,,,,300.0,20000.0,20000.0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LABETALOL,98816339.4683027,223,CC(CCC1=CC=CC=C1)NCC(O)C1=CC=C(O)C(=C1)C(N)=O,SGUAFYQXFOLMHL-UHFFFAOYSA-N,"InChI=1/C19H24N2O3/c1-13(7-8-14-5-3-2-4-6-14)21-12-18(23)15-9-10-17(22)16(11-15)19(20)24/h2-6,9-11,13,18,21-23H,7-8,12H2,1H3,(H2,20,24)
",328.412,C19H24N2O3,501.3465,1.242,295.3065,6.91830970918936e-12,1.609,13.32,3.09,3.03,9.42,2.736,188.0,94.724,273.557,8.2,,37.552,0.0,55.107,,1.76604e-09,,0.000356287,,,,,,,328.411,328.411,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDRALAZINE,97003536.1946015,718,NNC1=NN=CC2=CC=CC=C12,RPTUSVTUFVMDQK-UHFFFAOYSA-N,"InChI=1S/C8H8N4/c9-11-8-7-4-2-1-3-6(7)5-10-12-8/h1-5H,9H2,(H,11,12)
",160.18,C8H8N4,359.06,1.3535,214.0905,4.36515832240166e-08,1.777,5.77,-0.66,0.81,7.94,1.0,172.5,48.79,116.624,,7.15,19.342,0.0,78.865,,6.456542290346561e-09,,0.0263027,,,,,,,,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LEVOFLOXACIN,91963760.4159162,176,C[C@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O,GSDSWSVVBLHKDQ-JTQLQIEISA-N,"InChI=1S/C18H20FN3O4/c1-10-9-26-17-14-11(16(23)12(18(24)25)8-22(10)14)7-13(19)15(17)21-5-3-20(2)4-6-21/h7-8,10H,3-6,9H2,1-2H3,(H,24,25)/t10-/m0/s1
",361.373,C18H20FN3O4,498.9295,1.425,287.576,1.1481536214968801e-09,1.67,10.59,-4.69,-6.59,10.42,-0.014,219.0,91.098,243.967,1.2,,36.114,0.0,70.318,,9.31108e-10,,0.0396623558314346,10000.0,,100000.0,100000.0,7500.0,30.0,55000.0,10000.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROCHLOROTHIAZIDE,91111336.8982041,4024,NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl,JZUFKLXOESDKRF-UHFFFAOYSA-N,"InChI=1S/C7H8ClN3O4S2/c8-4-1-5-7(2-6(4)16(9,12)13)17(14,15)11-3-10-5/h1-2,10-11H,3H2,(H2,9,12,13)
",297.73,C7H8ClN3O4S2,477.93,1.6605,301.1905,2.75422870333816e-10,1.632,1.78,-0.07,-0.12,8.53,-0.07,273.0,62.719,175.801,8.42,,24.864,0.0,62.016,,1.0471285480509e-10,,0.00245,,,,,,,154.8201,154.8201,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
RANITIDINE,90822938.9312977,330,CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O,VMXUWOKSQNHOCA-UHFFFAOYSA-N,"InChI=1S/C13H22N4O3S/c1-14-13(9-17(18)19)15-6-7-21-10-12-5-4-11(20-12)8-16(2)3/h4-5,9,14-15H,6-8,10H2,1-3H3
",314.4,C13H22N4O3S,393.065,1.218,192.091,7.07945784384137e-09,1.559,9.11,0.27,0.05,10.28,0.3225,70.0,85.647,265.446,7.57,,33.953,1.0,45.016,,1.66819789138443e-07,,0.0443609,100000.0,,,,310.0,,0.24555,0.24555,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SIMVASTATIN,87477953.6736826,3445,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,RYMZZMVNJRMUDD-HGQWONQESA-N,"InChI=1S/C25H38O5/c1-6-25(4,5)24(28)30-21-12-15(2)11-17-8-7-16(3)20(23(17)21)10-9-19-13-18(26)14-22(27)29-19/h7-8,11,15-16,18-21,23,26H,6,9-10,12-14H2,1-5H3/t15-,16-,18+,19+,20-,21-,23-/m0/s1
",418.574,C25H38O5,478.728,1.118,212.5915,3.54813389233575e-08,1.53,23.68,1.85,3.7,10.33,4.68,136.75,116.372,376.558,,8.33,46.133,0.0,43.06,,8.79023e-09,,5.75828882638389e-06,,,2680.0,2680.0,1.6,6250.0,1570.87145,16.7429,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HYDROXYZINE,86275740.4823555,1004,OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,ZQDWXGKKHFNSQK-UHFFFAOYSA-N,"InChI=1/C21H27ClN2O2/c22-20-8-6-19(7-9-20)21(18-4-2-1-3-5-18)24-12-10-23(11-13-24)14-16-26-17-15-25/h1-9,21,25H,10-17H2
",374.91,C21H27ClN2O2,428.875,1.1755,253.34,4.89778819368446e-09,1.583,15.92,1.85,2.92,10.41,2.546,163.0,105.915,317.125,,6.61,41.988,0.0,47.753,147.188,8.31763771102671e-10,,0.000586138,,,,,,,,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VERAPAMIL,83208486.7731805,397,COC1=CC=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC=C(OC)C(OC)=C2)C=C1OC,SGTNSNPWRIOYBX-UHFFFAOYSA-N,"InChI=1/C27H38N2O4/c1-20(2)27(19-28,22-10-12-24(31-5)26(18-22)33-7)14-8-15-29(3)16-13-21-9-11-23(30-4)25(17-21)32-6/h9-12,17-18,20H,8,13-16H2,1-7H3
",454.611,C27H38N2O4,511.065,1.0505,294.994,4.67735141287198e-07,1.526,22.83,0.86,2.72,11.68,3.899,117.0,131.865,429.392,,8.43,52.275,0.0,37.7,160.934,6.02559586074357e-10,,6.39299961333319e-06,13040.0,,1660.0,600.0,5682.62,45461.0,2498.05,175.665,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
VALSARTAN,78387555.5555556,406,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1)[C@@H](C(C)C)C(O)=O,ACWBQPMHZXGDFX-QFIPXVFZSA-N,"InChI=1S/C24H29N5O3/c1-4-5-10-21(30)29(22(16(2)3)24(31)32)15-17-11-13-18(14-12-17)19-8-6-7-9-20(19)23-25-27-28-26-23/h6-9,11-14,16,22H,4-5,10,15H2,1-3H3,(H,31,32)(H,25,26,27,28)/t22-/m0/s1
",435.528,C24H29N5O3,337.0,,,7.76247116628693e-10,,14.33,-1.78,-3.68,9.62,0.9,185.0,,,2.82,,,0.0,,,4.16869383470335e-10,,3.23593656929628e-05,,,,,,,435.526,435.526,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERYTHROMYCIN,77250000.0,51,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,ULGZDMOVFRHVEP-RWJQBGPGSA-N,"InChI=1S/C37H67NO13/c1-14-25-37(10,45)30(41)20(4)27(39)18(2)16-35(8,44)32(51-34-28(40)24(38(11)12)15-19(3)47-34)21(5)29(22(6)33(43)49-25)50-26-17-36(9,46-13)31(42)23(7)48-26/h18-26,28-32,34,40-42,44-45H,14-17H2,1-13H3/t18-,19-,20+,21+,22-,23+,24+,25-,26+,28-,29+,30-,31+,32-,34+,35-,36-,37-/m1/s1
",733.937,C37H67NO13,688.259,1.1995,470.286,1.2302687708123798e-11,1.535,23.83,2.31,3.04,9.53,2.829,191.0,189.169,607.183,,6.16,74.992,0.0,51.424,,4.85289e-16,,0.0002827992614548,24000.0,11000.0,224500.0,100000.0,33300.0,34.45,550000.0,40366.59,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
DOCUSATE,76214492.3932165,369,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(O)(=O)=O,HNSDLXPSAYFUHK-UHFFFAOYSA-N,"InChI=1/C20H38O7S/c1-5-9-11-16(7-3)14-26-19(21)13-18(28(23,24)25)20(22)27-15-17(8-4)12-10-6-2/h16-18H,5-15H2,1-4H3,(H,23,24,25)
",422.58,C20H38O7S,430.025,1.107,,6.60693448007596e-09,1.476,26.71,4.47,4.52,10.46,5.2455,110.0,108.654,385.303,,4.58,43.074,1.0,40.065,,1.73780082874938e-06,,0.0002539592960754,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
