Pharmaceutical,Influent_concentration,Units,Sampling date,Sampling location,Sampling type,Reference
Metoprolol,710,ng/L,17-Sep,Massachusetts,grab sample,5
Primidone,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Propranolol,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Ranitidine,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Albuterol,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Sulfamethoxazole,"4,998",ng/L,17-Sep,Massachusetts,grab sample,5
Trimethoprim,"1,329",ng/L,17-Sep,Massachusetts,grab sample,5
Venlafaxine,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Acetaminophen,"18,862",ng/L,17-Dec,Massachusetts,grab sample,5
Atenolol,226,ng/L,17-Dec,Massachusetts,grab sample,5
Carbamazepine,94,ng/L,17-Dec,Massachusetts,grab sample,5
Ciprofloxacin,485,ng/L,17-Dec,Massachusetts,grab sample,5
Diclofenac,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Diltiazem,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Diphenhydramine,190,ng/L,17-Dec,Massachusetts,grab sample,5
Fenofibrate,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Fluoxetine,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Ketoprofen,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Lamotrigine,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Metoprolol,258,ng/L,17-Dec,Massachusetts,grab sample,5
Primidone,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Propranolol,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Ranitidine,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Albuterol,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Sulfamethoxazole,"2,956",ng/L,17-Dec,Massachusetts,grab sample,5
Trimethoprim,371,ng/L,17-Dec,Massachusetts,grab sample,5
Venlafaxine,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Acetaminophen,"30,592",ng/L,18-Jul,Massachusetts,grab sample,5
Atenolol,464,ng/L,18-Jul,Massachusetts,grab sample,5
Carbamazepine,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Ciprofloxacin,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Diclofenac,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Diltiazem,40,ng/L,18-Jul,Massachusetts,grab sample,5
Diphenhydramine,352,ng/L,18-Jul,Massachusetts,grab sample,5
Fenofibrate,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Fluoxetine,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Ketoprofen,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Lamotrigine,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Metoprolol,402,ng/L,18-Jul,Massachusetts,grab sample,5
Primidone,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Propranolol,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Ranitidine,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Albuterol,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Sulfamethoxazole,"1,623",ng/L,18-Jul,Massachusetts,grab sample,5
Trimethoprim,203,ng/L,18-Jul,Massachusetts,grab sample,5
Venlafaxine,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Acetaminophen,0.28,ng/L,5/27/2020,Pennsylvania,24h composite,6
Acetaminophen,12.55,ng/L,6/3/2020,Pennsylvania,24h composite,6
Acetaminophen,20.59,ng/L,6/11/2020,Pennsylvania,24h composite,6
Acetaminophen,25.07,ng/L,6/17/2020,Pennsylvania,24h composite,6
Acetaminophen,11.25,ng/L,6/24/2020,Pennsylvania,24h composite,6
Acetaminophen,6.55,ng/L,7/1/2020,Pennsylvania,24h composite,6
Acetaminophen,1.17,ng/L,7/8/2020,Pennsylvania,24h composite,6
Acetaminophen,50.19,ng/L,7/15/2020,Pennsylvania,24h composite,6
Acetaminophen,33.54,ng/L,7/23/2020,Pennsylvania,24h composite,6
Acetaminophen,1.24,ng/L,7/29/2020,Pennsylvania,24h composite,6
Acetaminophen,20.96,ng/L,8/5/2020,Pennsylvania,24h composite,6
Acetaminophen,19.06,ng/L,8/13/2020,Pennsylvania,24h composite,6
Acetaminophen,72.54,ng/L,8/19/2020,Pennsylvania,24h composite,6
Acetaminophen,68.45,ng/L,8/26/2020,Pennsylvania,24h composite,6
Acetaminophen,68.31,ng/L,9/2/2020,Pennsylvania,24h composite,6
Acetaminophen,73.49,ng/L,9/9/2020,Pennsylvania,24h composite,6
Acetaminophen,94.52,ng/L,9/16/2020,Pennsylvania,24h composite,6
Acetaminophen,83.61,ng/L,9/23/2020,Pennsylvania,24h composite,6
Acetaminophen,70.95,ng/L,10/1/2020,Pennsylvania,24h composite,6
Acetaminophen,23.72,ng/L,10/8/2020,Pennsylvania,24h composite,6
Acetaminophen,29.36,ng/L,10/15/2020,Pennsylvania,24h composite,6
Acetaminophen,20.37,ng/L,10/22/2020,Pennsylvania,24h composite,6
Acetaminophen,10.98,ng/L,10/29/2020,Pennsylvania,24h composite,6
Acetaminophen,20.2,ng/L,11/4/2020,Pennsylvania,24h composite,6
Acetaminophen,72.77,ng/L,11/11/2020,Pennsylvania,24h composite,6
Acetaminophen,34.47,ng/L,11/18/2020,Pennsylvania,24h composite,6
Acetaminophen,18.69,ng/L,11/24/2020,Pennsylvania,24h composite,6
Acetaminophen,51.41,ng/L,12/1/2020,Pennsylvania,24h composite,6
Acetaminophen,ND,ng/L,12/8/2020,Pennsylvania,24h composite,6
Acetaminophen,1194.37,ng/L,12/15/2020,Pennsylvania,24h composite,6
Acetaminophen,1687.86,ng/L,1/13/2021,Pennsylvania,24h composite,6
Acetaminophen,1065.91,ng/L,1/19/2021,Pennsylvania,24h composite,6
Acetaminophen,ND,ng/L,1/26/2021,Pennsylvania,24h composite,6
Acetaminophen,1160.54,ng/L,2/2/2021,Pennsylvania,24h composite,6
Acetaminophen,1204.6,ng/L,2/9/2021,Pennsylvania,24h composite,6
Acetaminophen,4484.98,ng/L,2/16/2021,Pennsylvania,24h composite,6
Acetaminophen,6681.32,ng/L,2/23/2021,Pennsylvania,24h composite,6
Acetaminophen,3937.26,ng/L,3/2/2021,Pennsylvania,24h composite,6
Acetaminophen,9000,ng/L,3/9/2021,Pennsylvania,24h composite,6
Acetaminophen,15200,ng/L,3/16/2021,Pennsylvania,24h composite,6
Acetaminophen,5760,ng/L,3/23/2021,Pennsylvania,24h composite,6
Acetaminophen,5325.64,ng/L,3/30/2021,Pennsylvania,24h composite,6
Acetaminophen,3968.16,ng/L,4/6/2021,Pennsylvania,24h composite,6
Acetaminophen,3682.47,ng/L,4/13/2021,Pennsylvania,24h composite,6
Acetaminophen,3372.81,ng/L,4/20/2021,Pennsylvania,24h composite,6
Acetaminophen,5319.58,ng/L,4/27/2021,Pennsylvania,24h composite,6
Acetaminophen,15810.2,ng/L,5/4/2021,Pennsylvania,24h composite,6
Acetaminophen,2033.94,ng/L,5/11/2021,Pennsylvania,24h composite,6
Acetaminophen,1474.26,ng/L,5/18/2021,Pennsylvania,24h composite,6
Acetaminophen,2009.25,ng/L,5/25/2021,Pennsylvania,24h composite,6
Naproxen,115.58,ng/L,5/27/2020,Pennsylvania,24h composite,6
Naproxen,99.03,ng/L,6/3/2020,Pennsylvania,24h composite,6
Naproxen,78.26,ng/L,6/11/2020,Pennsylvania,24h composite,6
Naproxen,159.77,ng/L,6/17/2020,Pennsylvania,24h composite,6
Naproxen,95.68,ng/L,6/24/2020,Pennsylvania,24h composite,6
Naproxen,85.25,ng/L,7/1/2020,Pennsylvania,24h composite,6
Naproxen,29.36,ng/L,7/8/2020,Pennsylvania,24h composite,6
Naproxen,223.43,ng/L,7/15/2020,Pennsylvania,24h composite,6
Naproxen,187.97,ng/L,7/23/2020,Pennsylvania,24h composite,6
Naproxen,359.18,ng/L,7/29/2020,Pennsylvania,24h composite,6
Naproxen,575.88,ng/L,8/5/2020,Pennsylvania,24h composite,6
Naproxen,290.18,ng/L,8/13/2020,Pennsylvania,24h composite,6
Naproxen,728.97,ng/L,8/19/2020,Pennsylvania,24h composite,6
Naproxen,475.65,ng/L,8/26/2020,Pennsylvania,24h composite,6
Naproxen,443.52,ng/L,9/2/2020,Pennsylvania,24h composite,6
Naproxen,463.13,ng/L,9/9/2020,Pennsylvania,24h composite,6
Naproxen,451.65,ng/L,9/16/2020,Pennsylvania,24h composite,6
Naproxen,513.25,ng/L,9/23/2020,Pennsylvania,24h composite,6
Naproxen,572.78,ng/L,10/1/2020,Pennsylvania,24h composite,6
Naproxen,118.05,ng/L,10/8/2020,Pennsylvania,24h composite,6
Naproxen,97.15,ng/L,10/15/2020,Pennsylvania,24h composite,6
Naproxen,117,ng/L,10/22/2020,Pennsylvania,24h composite,6
Naproxen,92.1,ng/L,10/29/2020,Pennsylvania,24h composite,6
Naproxen,129.84,ng/L,11/4/2020,Pennsylvania,24h composite,6
Naproxen,288.78,ng/L,11/11/2020,Pennsylvania,24h composite,6
Naproxen,172.06,ng/L,11/18/2020,Pennsylvania,24h composite,6
Naproxen,251.68,ng/L,11/24/2020,Pennsylvania,24h composite,6
Naproxen,449.17,ng/L,12/1/2020,Pennsylvania,24h composite,6
Naproxen,4290.65,ng/L,12/8/2020,Pennsylvania,24h composite,6
Naproxen,3861.62,ng/L,12/15/2020,Pennsylvania,24h composite,6
Naproxen,3434.45,ng/L,1/13/2021,Pennsylvania,24h composite,6
Naproxen,2533.47,ng/L,1/19/2021,Pennsylvania,24h composite,6
Naproxen,3247.84,ng/L,1/26/2021,Pennsylvania,24h composite,6
Naproxen,2633.35,ng/L,2/2/2021,Pennsylvania,24h composite,6
Naproxen,2143.79,ng/L,2/9/2021,Pennsylvania,24h composite,6
Naproxen,4504.67,ng/L,2/16/2021,Pennsylvania,24h composite,6
Naproxen,5919.39,ng/L,2/23/2021,Pennsylvania,24h composite,6
Naproxen,4163.65,ng/L,3/2/2021,Pennsylvania,24h composite,6
Naproxen,4530,ng/L,3/9/2021,Pennsylvania,24h composite,6
Naproxen,6360,ng/L,3/16/2021,Pennsylvania,24h composite,6
Naproxen,4980,ng/L,3/23/2021,Pennsylvania,24h composite,6
Naproxen,4352.48,ng/L,3/30/2021,Pennsylvania,24h composite,6
Naproxen,7874.9,ng/L,4/6/2021,Pennsylvania,24h composite,6
Naproxen,5369.04,ng/L,4/13/2021,Pennsylvania,24h composite,6
Naproxen,6084.35,ng/L,4/20/2021,Pennsylvania,24h composite,6
Naproxen,6624.41,ng/L,4/27/2021,Pennsylvania,24h composite,6
Naproxen,11072.73,ng/L,5/4/2021,Pennsylvania,24h composite,6
Naproxen,ND,ng/L,5/11/2021,Pennsylvania,24h composite,6
Naproxen,4902.83,ng/L,5/18/2021,Pennsylvania,24h composite,6
Naproxen,5011.07,ng/L,5/25/2021,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,5/27/2020,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,6/3/2020,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,6/11/2020,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,6/17/2020,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,6/24/2020,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,7/1/2020,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,7/8/2020,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,7/15/2020,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,7/23/2020,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,7/29/2020,Pennsylvania,24h composite,6
Ampicillin,6.78,ng/L,8/5/2020,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,8/13/2020,Pennsylvania,24h composite,6
Ampicillin,8.04,ng/L,8/19/2020,Pennsylvania,24h composite,6
Ampicillin,5.48,ng/L,8/26/2020,Pennsylvania,24h composite,6
Ampicillin,5.82,ng/L,9/2/2020,Pennsylvania,24h composite,6
Ampicillin,5.51,ng/L,9/9/2020,Pennsylvania,24h composite,6
Ampicillin,5.99,ng/L,9/16/2020,Pennsylvania,24h composite,6
Ampicillin,6.03,ng/L,9/23/2020,Pennsylvania,24h composite,6
Ampicillin,7.02,ng/L,10/1/2020,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,10/8/2020,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,10/15/2020,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,10/22/2020,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,10/29/2020,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,11/4/2020,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,11/11/2020,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,11/18/2020,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,11/24/2020,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,12/1/2020,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,12/8/2020,Pennsylvania,24h composite,6
Ampicillin,21.38,ng/L,12/15/2020,Pennsylvania,24h composite,6
Ampicillin,23.33,ng/L,1/13/2021,Pennsylvania,24h composite,6
Ampicillin,14.18,ng/L,1/19/2021,Pennsylvania,24h composite,6
Ampicillin,16.14,ng/L,1/26/2021,Pennsylvania,24h composite,6
Ampicillin,16.36,ng/L,2/2/2021,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,2/9/2021,Pennsylvania,24h composite,6
Ampicillin,5.78,ng/L,2/16/2021,Pennsylvania,24h composite,6
Ampicillin,6.68,ng/L,2/23/2021,Pennsylvania,24h composite,6
Ampicillin,5.89,ng/L,3/2/2021,Pennsylvania,24h composite,6
Ampicillin,3.66,ng/L,3/9/2021,Pennsylvania,24h composite,6
Ampicillin,5.99,ng/L,3/16/2021,Pennsylvania,24h composite,6
Ampicillin,5.5,ng/L,3/23/2021,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,3/30/2021,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,4/6/2021,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,4/13/2021,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,4/20/2021,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,4/27/2021,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,5/4/2021,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,5/11/2021,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,5/18/2021,Pennsylvania,24h composite,6
Ampicillin,ND,ng/L,5/25/2021,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,5/27/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,6/3/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,6/11/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,6/17/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,6/24/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,7/1/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,7/8/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,7/15/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,7/23/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,7/29/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,8/5/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,8/13/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,8/19/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,8/26/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,9/2/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,9/9/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,9/16/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,9/23/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,10/1/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,10/8/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,10/15/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,10/22/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,10/29/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,11/4/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,11/11/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,11/18/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,11/24/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,12/1/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,12/8/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,12/15/2020,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,1/13/2021,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,1/19/2021,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,1/26/2021,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,2/2/2021,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,2/9/2021,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,2/16/2021,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,2/23/2021,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,3/2/2021,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,3/9/2021,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,3/16/2021,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,3/23/2021,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,3/30/2021,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,4/6/2021,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,4/13/2021,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,4/20/2021,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,4/27/2021,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,5/4/2021,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,5/11/2021,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,5/18/2021,Pennsylvania,24h composite,6
Doxycycline,22.03,ng/L,5/25/2021,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,5/27/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,6/3/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,6/11/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,6/17/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,6/24/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,7/1/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,7/8/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,7/15/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,7/23/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,7/29/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,8/5/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,8/13/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,8/19/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,5.48,ng/L,8/26/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,9/2/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,5.51,ng/L,9/9/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,5.99,ng/L,9/16/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,9/23/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,10/1/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,10/8/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,10/15/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,10/22/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,10/29/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,11/4/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,11/11/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,11/18/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,11/24/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,12/1/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,12/8/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,12/15/2020,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,1/13/2021,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,1/19/2021,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,1/26/2021,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,2/2/2021,Pennsylvania,24h composite,6
Sulfamethoxazole,ND,ng/L,2/9/2021,Pennsylvania,24h composite,6
Sulfamethoxazole,152.68,ng/L,2/16/2021,Pennsylvania,24h composite,6
Sulfamethoxazole,174.83,ng/L,2/23/2021,Pennsylvania,24h composite,6
Sulfamethoxazole,23.57,ng/L,3/2/2021,Pennsylvania,24h composite,6
Sulfamethoxazole,199,ng/L,3/9/2021,Pennsylvania,24h composite,6
Sulfamethoxazole,126,ng/L,3/16/2021,Pennsylvania,24h composite,6
Sulfamethoxazole,122,ng/L,3/23/2021,Pennsylvania,24h composite,6
Sulfamethoxazole,90.31,ng/L,3/30/2021,Pennsylvania,24h composite,6
Sulfamethoxazole,21.7,ng/L,4/6/2021,Pennsylvania,24h composite,6
Sulfamethoxazole,23.42,ng/L,4/13/2021,Pennsylvania,24h composite,6
Sulfamethoxazole,49.77,ng/L,4/20/2021,Pennsylvania,24h composite,6
Sulfamethoxazole,25.17,ng/L,4/27/2021,Pennsylvania,24h composite,6
Sulfamethoxazole,301.15,ng/L,5/4/2021,Pennsylvania,24h composite,6
Sulfamethoxazole,23.39,ng/L,5/11/2021,Pennsylvania,24h composite,6
Sulfamethoxazole,28.72,ng/L,5/18/2021,Pennsylvania,24h composite,6
Sulfamethoxazole,13.81,ng/L,5/25/2021,Pennsylvania,24h composite,6
Trimethoprim,22.03,ng/L,5/27/2020,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,6/3/2020,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,6/11/2020,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,6/17/2020,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,6/24/2020,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,7/1/2020,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,7/8/2020,Pennsylvania,24h composite,6
Trimethoprim,7.5,ng/L,7/15/2020,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,7/23/2020,Pennsylvania,24h composite,6
Trimethoprim,6.22,ng/L,7/29/2020,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,8/5/2020,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,8/13/2020,Pennsylvania,24h composite,6
Trimethoprim,40.18,ng/L,8/19/2020,Pennsylvania,24h composite,6
Trimethoprim,27.42,ng/L,8/26/2020,Pennsylvania,24h composite,6
Trimethoprim,17.46,ng/L,9/2/2020,Pennsylvania,24h composite,6
Trimethoprim,27.56,ng/L,9/9/2020,Pennsylvania,24h composite,6
Trimethoprim,71.74,ng/L,9/16/2020,Pennsylvania,24h composite,6
Trimethoprim,30.16,ng/L,9/23/2020,Pennsylvania,24h composite,6
Trimethoprim,35.12,ng/L,10/1/2020,Pennsylvania,24h composite,6
Trimethoprim,16.54,ng/L,10/8/2020,Pennsylvania,24h composite,6
Trimethoprim,19.81,ng/L,10/15/2020,Pennsylvania,24h composite,6
Trimethoprim,14.29,ng/L,10/22/2020,Pennsylvania,24h composite,6
Trimethoprim,34.09,ng/L,10/29/2020,Pennsylvania,24h composite,6
Trimethoprim,20.07,ng/L,11/4/2020,Pennsylvania,24h composite,6
Trimethoprim,57.54,ng/L,11/11/2020,Pennsylvania,24h composite,6
Trimethoprim,69.53,ng/L,11/18/2020,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,11/24/2020,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,12/1/2020,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,12/8/2020,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,12/15/2020,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,1/13/2021,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,1/19/2021,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,1/26/2021,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,2/2/2021,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,2/9/2021,Pennsylvania,24h composite,6
Trimethoprim,201.68,ng/L,2/16/2021,Pennsylvania,24h composite,6
Trimethoprim,336.83,ng/L,2/23/2021,Pennsylvania,24h composite,6
Trimethoprim,285.5,ng/L,3/2/2021,Pennsylvania,24h composite,6
Trimethoprim,171,ng/L,3/9/2021,Pennsylvania,24h composite,6
Trimethoprim,145,ng/L,3/16/2021,Pennsylvania,24h composite,6
Trimethoprim,123,ng/L,3/23/2021,Pennsylvania,24h composite,6
Trimethoprim,106.37,ng/L,3/30/2021,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,4/6/2021,Pennsylvania,24h composite,6
Trimethoprim,9.5,ng/L,4/13/2021,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,4/20/2021,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,4/27/2021,Pennsylvania,24h composite,6
Trimethoprim,ND,ng/L,5/4/2021,Pennsylvania,24h composite,6
Trimethoprim,1.34,ng/L,5/11/2021,Pennsylvania,24h composite,6
Trimethoprim,28.79,ng/L,5/18/2021,Pennsylvania,24h composite,6
Trimethoprim,14.75,ng/L,5/25/2021,Pennsylvania,24h composite,6
Hydroxychloroquine,ND,ng/L,5/27/2020,Pennsylvania,24h composite,6
Hydroxychloroquine,ND,ng/L,6/3/2020,Pennsylvania,24h composite,6
Hydroxychloroquine,ND,ng/L,6/11/2020,Pennsylvania,24h composite,6
Hydroxychloroquine,ND,ng/L,6/17/2020,Pennsylvania,24h composite,6
Hydroxychloroquine,ND,ng/L,6/24/2020,Pennsylvania,24h composite,6
Hydroxychloroquine,ND,ng/L,7/1/2020,Pennsylvania,24h composite,6
Hydroxychloroquine,ND,ng/L,7/8/2020,Pennsylvania,24h composite,6
Hydroxychloroquine,ND,ng/L,7/15/2020,Pennsylvania,24h composite,6
Hydroxychloroquine,ND,ng/L,7/23/2020,Pennsylvania,24h composite,6
Hydroxychloroquine,ND,ng/L,7/29/2020,Pennsylvania,24h composite,6
Hydroxychloroquine,ND,ng/L,8/5/2020,Pennsylvania,24h composite,6
Hydroxychloroquine,ND,ng/L,8/13/2020,Pennsylvania,24h composite,6
Hydroxychloroquine,ND,ng/L,8/19/2020,Pennsylvania,24h composite,6
Hydroxychloroquine,ND,ng/L,8/26/2020,Pennsylvania,24h composite,6
Hydroxychloroquine,ND,ng/L,9/2/2020,Pennsylvania,24h composite,6
Hydroxychloroquine,ND,ng/L,9/9/2020,Pennsylvania,24h composite,6
Hydroxychloroquine,ND,ng/L,9/16/2020,Pennsylvania,24h composite,6
Hydroxychloroquine,ND,ng/L,9/23/2020,Pennsylvania,24h composite,6
