"","Pharmaceutical","DTXSID","TOXVAL_TYPE","TOXVAL_NUMERIC","TOXVAL_UNITS","SPECIES_COMMON","SPECIES_SUPERCATEGORY","HUMAN_ECO","CRITICAL_EFFECT","Molar_Mass"
"206","fenofibrate","DTXSID2029874","NOEC",360837,"ug/L","Common Carp","Fish","eco","Enzyme(s) 7-Benzyloxy-4-trifluoromethylcoumarin O-debenzylase",360.83
"207","doxycycline","DTXSID0037653","NOEC",20000,"ug/L","Zebra Danio","Fish","eco","Genetics Proliferating cell nuclear antigen mRNA",444.44
"208","labetalol","DTXSID2023191","NOEC",328.411,"ug/L","Zebra Danio","Fish","eco","Physiology Blood flow",328.412
"209","levofloxacin","DTXSID0041060","NOEC",10000,"ug/L","Fathead Minnow","Fish","eco","Mortality Mortality",361.373
"210","levofloxacin","DTXSID0041060","NOEC",1e+05,"ug/L","African Clawed Frog","Amphibians","eco","Growth Snout-vent length",361.373
"211","hydrochlorothiazide","DTXSID2020713","NOEC",11.9092,"ug/L","Zebra Danio","Fish","eco","Physiology Cardiac index",297.73
"212","hydrochlorothiazide","DTXSID2020713","NOEC",297.731,"ug/L","Zebra Danio","Fish","eco","Physiology Heart rate",297.73
"213","ranitidine","DTXSID8045191","NOEC",0.24555,"ug/L","Zebra Danio","Fish","eco","Genetics DNA concentration",314.4
"214","simvastatin","DTXSID0023581","NOEC",16.7429,"ug/L","Zebra Danio","Fish","eco","Physiology Heart rate",418.574
"215","simvastatin","DTXSID0023581","NOEC",1250,"ug/L","Mummichog","Fish","eco","Mortality Mortality",418.574
"216","simvastatin","DTXSID0023581","NOEC",5000,"ug/L","Mummichog","Fish","eco","Biochemistry Glutathione (reduced glutathione)",418.574
"217","verapamil","DTXSID9041152","NOEC",1350,"ug/L","Rainbow Trout","Fish","eco","Enzyme(s) Glutathione peroxidase",454.611
"218","verapamil","DTXSID9041152","NOEC",0.47,"ug/L","Rainbow Trout","Fish","eco","Biochemistry Endoplasmin",454.611
"219","verapamil","DTXSID9041152","NOEC",26.18,"ug/L","Rainbow Trout","Fish","eco","Biochemistry Hemoglobin",454.611
"220","verapamil","DTXSID9041152","NOEC",251.33,"ug/L","Rainbow Trout","Fish","eco","Biochemistry Thiobarbituric acid reactive substances",454.611
"221","verapamil","DTXSID9041152","NOEC",300,"ug/L","Fathead Minnow","Fish","eco","Growth Weight",454.611
"222","verapamil","DTXSID9041152","NOEC",600,"ug/L","Fathead Minnow","Fish","eco","Mortality Survival",454.611
"223","verapamil","DTXSID9041152","NOEC",100,"ug/L","Rainbow Trout","Fish","eco","Enzyme(s) Glutathione peroxidase",454.611
"224","verapamil","DTXSID9041152","NOEC",270,"ug/L","Rainbow Trout","Fish","eco","Genetics DNA to RNA ratio",454.611
"225","verapamil","DTXSID9041152","NOEC",454.61,"ug/L","Zebra Danio","Fish","eco","Physiology Heart rate",454.611
"226","verapamil","DTXSID9041152","NOEC",4546.1,"ug/L","Common Carp","Fish","eco","Enzyme(s) Xenobiotic-transporting ATPase",454.611
"227","verapamil","DTXSID9041152","NOEC",13638.3,"ug/L","Zebra Danio","Fish","eco","Biochemistry ATP-binding cassette transporters",454.611
"228","verapamil","DTXSID9041152","NOEC",300,"ug/L","Fathead Minnow","Fish","eco","Growth",454.611
"229","verapamil","DTXSID9041152","NOEC",600,"ug/L","Fathead Minnow","Fish","eco","mortality",454.611
"230","valsartan","DTXSID6023735","NOEC",435.526,"ug/L","Zebra Danio","Fish","eco","Physiology Blood flow",435.528
"231","erythromycin","DTXSID4022991","NOEC",1e+06,"ug/L","Zebra Danio","Fish","eco","Mortality Mortality",733.937
"232","erythromycin","DTXSID4022991","NOEC",7339.38,"ug/L","Rainbow Trout","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",733.937
"233","erythromycin","DTXSID4022991","NOEC",73393.8,"ug/L","Rainbow Trout","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",733.937
"234","erythromycin","DTXSID4022991","NOEC",1e+05,"ug/L","Japanese Medaka","Fish","eco","Mortality Survival",733.937
"235","erythromycin","DTXSID4022991","NOEC",366969,"ug/L","Zebra Danio","Fish","eco","Morphology Size",733.937
"236","erythromycin","DTXSID4022991","NOEC",1e+06,"ug/L","Japanese Medaka","Fish","eco","Growth Weight",733.937
"237","erythromycin","DTXSID4022991","NOEC",1223250,"ug/L","Zebra Danio","Fish","eco","Morphology Size",733.937
"238","erythromycin","DTXSID4022991","NOEC",1e+05,"ug/L","Japanese Medaka","Fish","eco","mortality",733.937
"239","erythromycin","DTXSID4022991","NOEC",1e+06,"ug/L","Japanese Medaka","Fish","eco","mortality",733.937
"240","irbesartan","DTXSID0023169","NOEC",428.537,"ug/L","Zebra Danio","Fish","eco","Physiology Blood flow",428.54
"241","diclofenac","DTXSID6022923","NOEC",2e+06,"ug/L","Japanese Medaka","Fish","eco","Development Slowed, Retarded, Delayed or Non-development",296.15
"242","diclofenac","DTXSID6022923","NOEC",1.06,"ug/L","Rainbow Trout","Fish","eco","Histology Lesions",296.15
"243","diclofenac","DTXSID6022923","NOEC",3.82,"ug/L","Threespine Stickleback","Fish","eco","Enzyme(s) Glutathione reductase",296.15
"244","diclofenac","DTXSID6022923","NOEC",4.95,"ug/L","Rainbow Trout","Fish","eco","Cell(s) Organelle changes",296.15
"245","diclofenac","DTXSID6022923","NOEC",1e+07,"ug/L","Japanese Medaka","Fish","eco","Physiology Heart rate",296.15
"246","diclofenac","DTXSID6022923","NOEC",6.63,"ug/L","Brown Trout","Fish","eco","Histology Edema",296.15
"247","diclofenac","DTXSID6022923","NOEC",10.1,"ug/L","Japanese Medaka","Fish","eco","Mortality Mortality",296.15
"248","diclofenac","DTXSID6022923","NOEC",2.4e+07,"ug/L","Japanese Medaka","Fish","eco","Histology Lesions",296.15
"249","diclofenac","DTXSID6022923","NOEC",20.13,"ug/L","Rainbow Trout","Fish","eco","Cell(s) Cell changes",296.15
"250","diclofenac","DTXSID6022923","NOEC",63.05,"ug/L","Brown Trout","Fish","eco","Histology Hyperplasia",296.15
"251","diclofenac","DTXSID6022923","NOEC",100.9,"ug/L","Rainbow Trout","Fish","eco","Cell(s) Cell changes",296.15
"252","diclofenac","DTXSID6022923","NOEC",170,"ug/L","Nile Tilapia","Fish","eco","Enzyme(s) Fructose 1,6-diphosphatase",296.15
"253","diclofenac","DTXSID6022923","NOEC",296.153,"ug/L","Zebra Danio","Fish","eco","Development Abnormal",296.15
"254","diclofenac","DTXSID6022923","NOEC",340,"ug/L","Nile Tilapia","Fish","eco","Enzyme(s) Glucose-6-phosphatase",296.15
"255","diclofenac","DTXSID6022923","NOEC",680,"ug/L","Nile Tilapia","Fish","eco","Enzyme(s) Catalase",296.15
"256","diclofenac","DTXSID6022923","NOEC",1000,"ug/L","Japanese Medaka","Fish","eco","Behavior Swimming",296.15
"257","diclofenac","DTXSID6022923","NOEC",2961.53,"ug/L","Topminnow","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",296.15
"258","diclofenac","DTXSID6022923","NOEC",5923.06,"ug/L","Topminnow","Fish","eco","Cell(s) Viability",296.15
"259","diclofenac","DTXSID6022923","NOEC",7098,"ug/L","Common Carp","Fish","eco","Biochemistry Malondialdehyde",296.15
"260","diclofenac","DTXSID6022923","NOEC",2.96153,"ug/L","Clawed Frog","Amphibians","eco","Growth Limb/ body part regeneration",296.15
"261","diclofenac","DTXSID6022923","NOEC",2000,"ug/L","Zebra Danio","Fish","eco","Biochemistry Heat shock protein 70",296.15
"262","diclofenac","DTXSID6022923","NOEC",9254.78,"ug/L","Rainbow Trout","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",296.15
"263","diclofenac","DTXSID6022923","NOEC",10100,"ug/L","Japanese Medaka","Fish","eco","Genetics Tributyltin binding protein 1 mRNA",296.15
"264","diclofenac","DTXSID6022923","NOEC",29615.3,"ug/L","Common Carp","Fish","eco","Enzyme(s) Sulfotransferase",296.15
"265","diclofenac","DTXSID6022923","NOEC",74038.2,"ug/L","Rainbow Trout","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",296.15
"266","diclofenac","DTXSID6022923","NOEC",296153,"ug/L","Common Carp","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",296.15
"267","amiodarone","DTXSID7022592","NOEC",623,"ug/L","Fathead Minnow","Fish","eco","Mortality Survival",645.32
"268","amiodarone","DTXSID7022592","NOEC",623,"ug/L","Fathead Minnow","Fish","eco","mortality",645.32
"269","atenolol","DTXSID2022628","NOEC",3200,"ug/L","Fathead Minnow","Fish","eco","Growth Length",266.341
"270","atenolol","DTXSID2022628","NOEC",10000,"ug/L","Fathead Minnow","Fish","eco","Mortality Hatch",266.341
"271","atenolol","DTXSID2022628","NOEC",0.00026634,"ug/L","Rainbow Trout","Fish","eco","Biochemistry Glucose",266.341
"272","atenolol","DTXSID2022628","NOEC",266.34,"ug/L","Rainbow Trout","Fish","eco","Genetics Solute carrier family 2, facilitated glucose transporter member 2 mRNA",266.341
"273","atenolol","DTXSID2022628","NOEC",5000,"ug/L","Zebra Danio","Fish","eco","Histology Edema",266.341
"274","atenolol","DTXSID2022628","NOEC",7500,"ug/L","Zebra Danio","Fish","eco","Physiology Heart rate",266.341
"275","atenolol","DTXSID2022628","NOEC",10000,"ug/L","Zebra Danio","Fish","eco","Growth Length",266.341
"276","atenolol","DTXSID2022628","NOEC",26634,"ug/L","Zebra Danio","Fish","eco","Physiology Sodium uptake",266.341
"277","atenolol","DTXSID2022628","NOEC",5000,"ug/L","Zebra Danio","Fish","eco","mortality",266.341
"278","fluoxetine","DTXSID7023067","NOEC",3.2,"ug/L","Zebra Danio","Fish","eco","reproduction",309.332
"279","fluoxetine","DTXSID7023067","NOEC",32,"ug/L","Zebra Danio","Fish","eco","Growth",309.332
"280","fluoxetine","DTXSID7023067","NOEC",54,"ug/L","Goldfish","Fish","eco","Growth",309.332
"281","fluoxetine","DTXSID7023067","NOEC",0.01,"ug/L","Zebra Danio","Fish","eco","Genetics Estrogen receptor alpha mRNA",309.332
"282","fluoxetine","DTXSID7023067","NOEC",0.54,"ug/L","Goldfish","Fish","eco","Genetics Cytochrome P450 aromatase A mRNA",309.332
"283","fluoxetine","DTXSID7023067","NOEC",1,"ug/L","Zebra Danio","Fish","eco","Morphology Abnormal",309.332
"284","fluoxetine","DTXSID7023067","NOEC",30.9331,"ug/L","Topminnow","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",309.332
"285","fluoxetine","DTXSID7023067","NOEC",54,"ug/L","Goldfish","Fish","eco","Growth Weight gain",309.332
"286","fluoxetine","DTXSID7023067","NOEC",2000,"ug/L","African Clawed Frog","Amphibians","eco","Growth Snout-vent length",309.332
"287","fluoxetine","DTXSID7023067","NOEC",6186.62,"ug/L","Topminnow","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",309.332
"288","fluoxetine","DTXSID7023067","NOEC",1e-05,"ug/L","Chinook Salmon","Fish","eco","Behavior Distance moved, change in direct movement",309.332
"289","fluoxetine","DTXSID7023067","NOEC",0.001,"ug/L","Chinook Salmon","Fish","eco","Behavior Distance moved, change in direct movement",309.332
"290","fluoxetine","DTXSID7023067","NOEC",0.32,"ug/L","Zebra Danio","Fish","eco","Genetics Gene expression",309.332
"291","fluoxetine","DTXSID7023067","NOEC",0.54,"ug/L","Goldfish","Fish","eco","Feeding behavior Food consumption",309.332
"292","fluoxetine","DTXSID7023067","NOEC",1,"ug/L","Zebra Danio","Fish","eco","Genetics Cyp1A1 mRNA",309.332
"293","fluoxetine","DTXSID7023067","NOEC",2500,"ug/L","Chinook Salmon","Fish","eco","Hormone(s) Cortisol",309.332
"294","fluoxetine","DTXSID7023067","NOEC",3.2,"ug/L","Zebra Danio","Fish","eco","Reproduction Progeny counts/numbers",309.332
"295","fluoxetine","DTXSID7023067","NOEC",5000,"ug/L","Goldfish","Fish","eco","Genetics Estrogen receptor beta2 protein mRNA",309.332
"296","fluoxetine","DTXSID7023067","NOEC",6000,"ug/L","Bluehead Wrasse","Fish","eco","Morphology Organ weight in relationship to body weight",309.332
"297","fluoxetine","DTXSID7023067","NOEC",32,"ug/L","Zebra Danio","Fish","eco","Genetics Gene expression",309.332
"298","fluoxetine","DTXSID7023067","NOEC",54,"ug/L","Goldfish","Fish","eco","Biochemistry Amino acid(s), general term",309.332
"299","fluoxetine","DTXSID7023067","NOEC",100,"ug/L","Zebra Danio","Fish","eco","Genetics Solute carrier family 6 (neurotransmitter transporter), member 4a mRNA",309.332
"300","fluoxetine","DTXSID7023067","NOEC",216.532,"ug/L","Zebra Danio","Fish","eco","Biochemistry Magnesium (Mg) content",309.332
"301","fluoxetine","DTXSID7023067","NOEC",0.54,"ug/L","Goldfish","Fish","eco","Growth",309.332
"302","fluoxetine","DTXSID7023067","NOEC",3093.31,"ug/L","Rainbow Trout","Fish","eco","Enzyme(s) Benzyloxyquinoline",309.332
"303","fluoxetine","DTXSID7023067","NOEC",5567.96,"ug/L","Topminnow","Fish","eco","Biochemistry Reactive oxygen species",309.332
"304","fluoxetine","DTXSID7023067","NOEC",11135.9,"ug/L","Rainbow Trout","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",309.332
"305","fluoxetine","DTXSID7023067","NOEC",309331,"ug/L","Common Carp","Fish","eco","Enzyme(s) omega-Laurate hydroxylase",309.332
"306","fluoxetine","DTXSID7023067","NOEC",1330120,"ug/L","Siamese Fighting Fish","Fish","eco","Hormone(s) Serotonin",309.332
"307","pravastatin","DTXSID6023498","NOEC",84.9069,"ug/L","Zebra Danio","Fish","eco","Physiology Cardiac index",424.534
"308","pravastatin","DTXSID6023498","NOEC",424.535,"ug/L","Zebra Danio","Fish","eco","Physiology Blood flow",424.534
"309","carvedilol","DTXSID8022747","NOEC",406.481,"ug/L","Zebra Danio","Fish","eco","Physiology Cardiac index",406.482
"310","spironolactone","DTXSID6034186","NOEC",0.04,"ug/L","Fathead Minnow","Fish","eco","Hormone(s) Testosterone",416.58
"311","spironolactone","DTXSID6034186","NOEC",0.5,"ug/L","Fathead Minnow","Fish","eco","Genetics Vitellogenin mRNA",416.58
"312","spironolactone","DTXSID6034186","NOEC",0.6,"ug/L","Japanese Medaka","Fish","eco","Morphology Structural changes",416.58
"313","spironolactone","DTXSID6034186","NOEC",2.6,"ug/L","Fathead Minnow","Fish","eco","Morphology Organ weight in relationship to body weight",416.58
"314","spironolactone","DTXSID6034186","NOEC",3.3,"ug/L","Japanese Medaka","Fish","eco","Morphology Organ weight in relationship to body weight",416.58
"315","spironolactone","DTXSID6034186","NOEC",44,"ug/L","Fathead Minnow","Fish","eco","Biochemistry Vitellogenin",416.58
"316","spironolactone","DTXSID6034186","NOEC",48,"ug/L","Japanese Medaka","Fish","eco","Morphology Organ weight in relationship to body weight",416.58
"317","spironolactone","DTXSID6034186","NOEC",1e+05,"ug/L","Mummichog","Fish","eco","Mortality Mortality",416.58
"318","spironolactone","DTXSID6034186","NOEC",5e+05,"ug/L","Nile Tilapia","Fish","eco","Mortality Survival",416.58
"319","spironolactone","DTXSID6034186","NOEC",1e+06,"ug/L","Mummichog","Fish","eco","Biochemistry Chlorine concentration",416.58
"320","phenytoin","DTXSID8020541","NOEC",100,"ug/L","Pumpkinseed","Fish","eco","Behavior Swimming",252.273
"321","phenytoin","DTXSID8020541","NOEC",25000,"ug/L","African Clawed Frog","Amphibians","eco","Development Slowed, Retarded, Delayed or Non-development",252.273
"322","phenytoin","DTXSID8020541","NOEC",75000,"ug/L","African Clawed Frog","Amphibians","eco","Mortality Mortality",252.273
"323","phenytoin","DTXSID8020541","NOEC",1e+05,"ug/L","Fathead Minnow","Fish","eco","Development Slowed, Retarded, Delayed or Non-development",252.273
"324","phenytoin","DTXSID8020541","NOEC",113523,"ug/L","Zebra Danio","Fish","eco","Enzyme(s) Adenosine deaminase",252.273
"325","propranolol","DTXSID6023525","NOEC",500,"ug/L","Japanese Medaka","Fish","eco","reproduction",259.349
"326","propranolol","DTXSID6023525","NOEC",4.11,"ug/L","Fathead Minnow","Fish","eco","Behavior Rub",259.349
"327","propranolol","DTXSID6023525","NOEC",1296.745,"ug/L","African Clawed Frog","Amphibians","eco","Biochemistry Melanin",259.349
"328","propranolol","DTXSID6023525","NOEC",12967450,"ug/L","Rainbow Trout","Fish","eco","Biochemistry Glucose",259.349
"329","propranolol","DTXSID6023525","NOEC",1000,"ug/L","Tiger Salamander","Amphibians","eco","Physiology Sodium flux",259.349
"330","propranolol","DTXSID6023525","NOEC",2000,"ug/L","Rainbow Trout","Fish","eco","Physiology Oxygen tension",259.349
"331","propranolol","DTXSID6023525","NOEC",2.59348,"ug/L","Common Carp","Fish","eco","Genetics Xenobiotic-transporting ATPase mRNA",259.349
"332","propranolol","DTXSID6023525","NOEC",31.8,"ug/L","Zebra Danio","Fish","eco","Growth Length",259.349
"333","propranolol","DTXSID6023525","NOEC",259.348,"ug/L","Zebra Danio","Fish","eco","Physiology Heart rate",259.349
"334","propranolol","DTXSID6023525","NOEC",500,"ug/L","Japanese Medaka","Fish","eco","Hormone(s) Testosterone",259.349
"335","propranolol","DTXSID6023525","NOEC",2593.48,"ug/L","Rainbow Trout","Fish","eco","Genetics Solute carrier family 2, facilitated glucose transporter member 2 mRNA",259.349
"336","propranolol","DTXSID6023525","NOEC",25934.8,"ug/L","Common Carp","Fish","eco","Genetics rpl8 mRNA",259.349
"337","propranolol","DTXSID6023525","NOEC",32418.5,"ug/L","Rainbow Trout","Fish","eco","Cell(s) Cell Viability",259.349
"338","propranolol","DTXSID6023525","NOEC",31.8,"ug/L","Zebra Danio","Fish","eco","Growth",259.349
"339","propranolol","DTXSID6023525","NOEC",100,"ug/L","Japanese Medaka","Fish","eco","Growth",259.349
"340","citalopram","DTXSID8022826","NOEC",2.3,"ug/L","Endler's Guppy","Fish","eco","Behavior Distance moved, change in direct movement",324.399
"341","citalopram","DTXSID8022826","NOEC",15,"ug/L","Endler's Guppy","Fish","eco","Behavior Distance moved, change in direct movement",324.399
"342","citalopram","DTXSID8022826","NOEC",1,"ug/L","Endler's Guppy","Fish","eco","Reproduction Courtship behavior",324.399
"343","rosuvastatin","DTXSID8048492","NOEC",481.539,"ug/L","Zebra Danio","Fish","eco","Physiology Blood flow",481.54
"344","nitrofurantoin","DTXSID7020972","NOEC",5000,"ug/L","Dover Sole","Fish","eco","Genetics Genetics, general",238.159
"345","nifedipine","DTXSID2025715","NOEC",346.34,"ug/L","Zebra Danio","Fish","eco","Physiology Cardiac index",346.339
"346","nifedipine","DTXSID2025715","NOEC",34634,"ug/L","Bluegill","Fish","eco","Reproduction Motility",346.339
"347","nifedipine","DTXSID2025715","NOEC",69267.9,"ug/L","Atlantic Croaker","Fish","eco","Reproduction Motility",346.339
"348","oseltamivir","DTXSID9044291","NOEC",0.3,"ug/L","Japanese Medaka","Fish","eco","Growth Length",312.41
"349","oseltamivir","DTXSID9044291","NOEC",300,"ug/L","Japanese Medaka","Fish","eco","Mortality Survival",312.41
"350","buspirone","DTXSID2022707","NOEC",5000,"ug/L","Zebra Danio","Fish","eco","Behavior Phototactic response",385.512
"351","buspirone","DTXSID2022707","NOEC",50000,"ug/L","Zebra Danio","Fish","eco","Behavior Phototactic response",385.512
"352","clarithromycin","DTXSID3022829","NOEC",1e+06,"ug/L","Zebra Danio","Fish","eco","Mortality Mortality",747.964
"353","fluconazole","DTXSID3020627","NOEC",200,"ug/L","Chinese Rare Minnow","Fish","eco","Physiology Heart rate",306.277
"354","meloxicam","DTXSID1020803","NOEC",100,"ug/L","Zebra Danio","Fish","eco","Genetics Cyp1A1 mRNA",351.4
"355","morphine","DTXSID9023336","NOEC",2e+05,"ug/L","Zebra Danio","Fish","eco","Behavior Distance moved, change in direct movement",285.343
"356","morphine","DTXSID9023336","NOEC",1000,"ug/L","Zebra Danio","Fish","eco","Behavior Freezing behavior",285.343
"357","morphine","DTXSID9023336","NOEC",1500,"ug/L","Zebra Danio","Fish","eco","Hormone(s) Cortisol",285.343
"358","lovastatin","DTXSID5020784","NOEC",10000,"ug/L","African Clawed Frog","Amphibians","eco","Growth Snout-vent length",404.547
"359","lovastatin","DTXSID5020784","NOEC",16.1819,"ug/L","Zebra Danio","Fish","eco","Physiology Cardiac index",404.547
"360","baclofen","DTXSID5022641","NOEC",7050.78,"ug/L","African Clawed Frog","Amphibians","eco","Biochemistry Melanin",213.66
"361","sotalol","DTXSID0023589","NOEC",272.362,"ug/L","Zebra Danio","Fish","eco","Physiology Heart rate",272.36
"362","paroxetine","DTXSID3023425","NOEC",32.9371,"ug/L","Topminnow","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",329.371
"363","paroxetine","DTXSID3023425","NOEC",2000,"ug/L","African Clawed Frog","Amphibians","eco","Growth Snout-vent length",329.371
"364","paroxetine","DTXSID3023425","NOEC",6587.42,"ug/L","Topminnow","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",329.371
"365","paroxetine","DTXSID3023425","NOEC",329371,"ug/L","Common Carp","Fish","eco","Enzyme(s) Sulfotransferase",329.371
"366","nortriptyline","DTXSID9023384","NOEC",1.58,"ug/L","Zebra Danio","Fish","eco","Behavior Swimming",263.384
"367","nortriptyline","DTXSID9023384","NOEC",28.12,"ug/L","Zebra Danio","Fish","eco","Behavior Swimming",263.384
"368","nortriptyline","DTXSID9023384","NOEC",500,"ug/L","Zebra Danio","Fish","eco","Behavior Equilibrium",263.384
"369","nortriptyline","DTXSID9023384","NOEC",4800,"ug/L","Zebra Danio","Fish","eco","Behavior Equilibrium",263.384
"370","nortriptyline","DTXSID9023384","NOEC",46900,"ug/L","Zebra Danio","Fish","eco","Development Organ/tissue formation",263.384
"371","telmisartan","DTXSID8023636","NOEC",20.5851,"ug/L","Zebra Danio","Fish","eco","Physiology Heart rate",514.629
"372","telmisartan","DTXSID8023636","NOEC",514.627,"ug/L","Zebra Danio","Fish","eco","Physiology Blood flow",514.629
"373","indomethacin","DTXSID9020740","NOEC",10000,"ug/L","Zebra Danio","Fish","eco","Mortality Mortality",357.79
"374","indomethacin","DTXSID9020740","NOEC",91.9,"ug/L","Fathead Minnow","Fish","eco","Biochemistry Vitellogenin",357.79
"375","indomethacin","DTXSID9020740","NOEC",100,"ug/L","Zebra Danio","Fish","eco","Genetics Aryl hydrocarbon receptor 1a mRNA",357.79
"376","indomethacin","DTXSID9020740","NOEC",50000,"ug/L","Zebra Danio","Fish","eco","Mortality Mortality",357.79
"377","indomethacin","DTXSID9020740","NOEC",1,"ug/L","Zebra Danio","Fish","eco","Reproduction Number spawning",357.79
"378","indomethacin","DTXSID9020740","NOEC",100,"ug/L","Zebra Danio","Fish","eco","Enzyme(s) Prostaglandin-endoperoxide synthase",357.79
"379","indomethacin","DTXSID9020740","NOEC",2e+05,"ug/L","Zebra Danio","Fish","eco","Behavior Distance moved, change in direct movement",357.79
"380","diazepam","DTXSID4020406","NOEC",0.235,"ug/L","Zebra Danio","Fish","eco","Genetics Testosterone 17-beta-dehydrogenase 3 mRNA",284.74
"381","diazepam","DTXSID4020406","NOEC",0.273,"ug/L","Zebra Danio","Fish","eco","Behavior Distance moved, change in direct movement",284.74
"382","diazepam","DTXSID4020406","NOEC",260,"ug/L","Zebra Danio","Fish","eco","Behavior Swimming",284.74
"383","diazepam","DTXSID4020406","NOEC",273,"ug/L","Zebra Danio","Fish","eco","Genetics Arrestin-C mRNA",284.74
"384","diazepam","DTXSID4020406","NOEC",291,"ug/L","Zebra Danio","Fish","eco","Growth Condition index",284.74
"385","diazepam","DTXSID4020406","NOEC",6130,"ug/L","Eastern Mosquitofish","Fish","eco","Physiology Swim bladder inflation",284.74
"386","diazepam","DTXSID4020406","NOEC",8830,"ug/L","Eastern Mosquitofish","Fish","eco","Enzyme(s) Copper zinc superoxide dismutase",284.74
"387","diazepam","DTXSID4020406","NOEC",4000,"ug/L","Banded Knifefish","Fish","eco","Physiology Electrophysiological response",284.74
"388","diazepam","DTXSID4020406","NOEC",2130,"ug/L","Pumpkinseed","Fish","eco","Enzyme(s) Glutathione S-transferase",284.74
"389","diazepam","DTXSID4020406","NOEC",4260,"ug/L","Pumpkinseed","Fish","eco","Behavior Swimming",284.74
"390","diazepam","DTXSID4020406","NOEC",72000,"ug/L","Zebra Danio","Fish","eco","Behavior Movements, number of",284.74
"391","ezetimibe","DTXSID1044223","NOEC",20.4716,"ug/L","Zebra Danio","Fish","eco","Physiology Oxygen consumption",409.433
"392","ezetimibe","DTXSID1044223","NOEC",2047.16,"ug/L","Zebra Danio","Fish","eco","Physiology Oxygen consumption",409.433
"393","sulfamethoxazole","DTXSID8026064","NOEC",10,"ug/L","Brown Striped Marsh Frog","Amphibians","eco","Development Stage",253.28
"394","sulfamethoxazole","DTXSID8026064","NOEC",80,"ug/L","Goldfish","Fish","eco","Enzyme(s) Acetylcholinesterase",253.28
"395","sulfamethoxazole","DTXSID8026064","NOEC",1e+05,"ug/L","African Clawed Frog","Amphibians","eco","Growth Snout-vent length",253.28
"396","sulfamethoxazole","DTXSID8026064","NOEC",1e+06,"ug/L","Zebra Danio","Fish","eco","Mortality Mortality",253.28
"397","sulfamethoxazole","DTXSID8026064","NOEC",500,"ug/L","Japanese Medaka","Fish","eco","Biochemistry Vitellogenin",253.28
"398","sulfamethoxazole","DTXSID8026064","NOEC",533,"ug/L","Zebra Danio","Fish","eco","Morphology Organ weight in relationship to body weight",253.28
"399","sulfamethoxazole","DTXSID8026064","NOEC",7914.86,"ug/L","Rainbow Trout","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",253.28
"400","sulfamethoxazole","DTXSID8026064","NOEC",10000,"ug/L","Japanese Medaka","Fish","eco","Biochemistry Vitellogenin",253.28
"401","sulfamethoxazole","DTXSID8026064","NOEC",25327.6,"ug/L","Zebra Danio","Fish","eco","Hormone(s) Thyroxine",253.28
"402","sulfamethoxazole","DTXSID8026064","NOEC",63318.9,"ug/L","Rainbow Trout","Fish","eco","Cell(s) Cell Viability",253.28
"403","sulfamethoxazole","DTXSID8026064","NOEC",533,"ug/L","Zebra Danio","Fish","eco","mortality",253.28
"404","warfarin","DTXSID5023742","NOEC",9635.42,"ug/L","Zebra Danio","Fish","eco","Development Deformation",308.333
"405","temazepam","DTXSID8021309","NOEC",0.708,"ug/L","Fathead Minnow","Fish","eco","Growth Condition index",300.74
"406","temazepam","DTXSID8021309","NOEC",0.708,"ug/L","Fathead Minnow","Fish","eco","Growth, Length",300.74
"407","quinapril","DTXSID4023547","NOEC",438.524,"ug/L","Zebra Danio","Fish","eco","Physiology Cardiac index",438.524
"408","finasteride","DTXSID3020625","NOEC",10,"ug/L","Clawed Frog","Amphibians","eco","Hormone(s) Testosterone",372.553
"409","finasteride","DTXSID3020625","NOEC",37255.1,"ug/L","Clawed Frog","Amphibians","eco","Genetics CYP19 mRNA",372.553
"410","metoclopramide","DTXSID6045169","NOEC",1000,"ug/L","Goldfish","Fish","eco","Hormone(s) Gonadotropin",299.8
"411","metoclopramide","DTXSID6045169","NOEC",10000,"ug/L","Goldfish","Fish","eco","Hormone(s) Gonadotropin",299.8
"412","bismuth subsalicylate","DTXSID6024622","NOEC",700,"ug/L","Rat","Mammals","human health","-",362.093
"413","methimazole","DTXSID4020820","NOEC",3.42495,"ug/L","Japanese Medaka","Fish","eco","Genetics Thyroid peroxidase mRNA",114.17
"414","methimazole","DTXSID4020820","NOEC",344,"ug/L","Fathead Minnow","Fish","eco","Growth",114.17
"415","methimazole","DTXSID4020820","NOEC",10,"ug/L","African Clawed Frog","Amphibians","eco","Development Resorption",114.17
